"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV1447",0,0.001862197,0,0,0,0,0.000310366,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Filosa-Sarcomonadea_X","f__Filosa-Sarcomonadea_XX","g__Filosa-Sarcomonadea_XXX","s__Filosa-Sarcomonadea_XXX_sp."
"ASV1383",0,0.002578427,0,0.001862197,0.003151411,0,0.001265339,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__unclassified_f__Vermamoebidae","s__unclassified_f__Vermamoebidae"
"ASV125",0.001289214,0.001289214,0.000572984,0.001575705,0.002864919,0.007162298,0.002459056,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Acramoebidae","g__unclassified_f__Acramoebidae","s__unclassified_f__Acramoebidae"
"ASV2999",0,0,0,0.001002722,0,0,0.00016712,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV2591",0.00143246,0,0,0.001289214,0,0,0.000453612,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__Colpodidae_X","s__Colpodidae_X_sp."
"ASV146",0.003151411,0.002291935,0,0.001002722,0.001862197,0.002864919,0.001862197,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Filamoebidae","g__Filamoeba","s__Filamoeba_sp."
"ASV1007",0,0.001145968,0,0.002148689,0.001862197,0.001002722,0.001026596,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Allapsidae_X","s__Allapsidae_X_sp."
"ASV2903",0,0,0,0.005873084,0,0,0.000978847,"Pro","p__Apicomplexa","c__Apicomplexa_X","o__Gregarines","f__Gregarines_X","g__Stenophora","s__Stenophora_robusta"
"ASV3937",0,0,0.004010887,0,0.001145968,0,0.000859476,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Sandonidae_X","s__Sandonidae_X_sp."
"ASV2555",0.00673256,0,0,0,0,0,0.001122093,"Pro","p__Apicomplexa","c__Apicomplexa_X","o__Gregarines","f__Gregarines_X","g__Stenophora","s__Stenophora_robusta"
"ASV1016",0.001718951,0.001718951,0,0,0,0,0.000572984,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV2046",0,0,0.001002722,0,0,0,0.00016712,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Vampyrellida_X","g__unclassified_f__Vampyrellida_X","s__unclassified_f__Vampyrellida_X"
"ASV2596",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV1456",0,0.000572984,0,0.000572984,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Euglyphida","f__Euglyphida_X","g__Euglyphida_XX","s__Euglyphida_XX_sp."
"ASV860",0.002435181,0,0,0,0,0,0.000405864,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_ramosa"
"ASV1480",0,0.000859476,0,0,0.001145968,0,0.000334241,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__Colpodidae_X","s__Colpodidae_X_sp."
"ASV2952",0,0,0,0.001575705,0,0,0.000262618,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV175",0.005013608,0.003581149,0.003724395,0.004870362,0.002005443,0.002578427,0.003628897,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV4017",0,0,0.000859476,0,0.000429738,0,0.000214869,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV1440",0,0.001289214,0,0,0,0,0.000214869,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV1441",0,0.00143246,0,0,0,0,0.000238743,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV2620",0.00143246,0,0,0,0,0,0.000238743,"Pro","p__Lobosa","c__Tubulinea","o__Leptomyxida","f__Leptomyxidae","g__unclassified_f__Leptomyxidae","s__unclassified_f__Leptomyxidae"
"ASV2934",0,0,0.001575705,0.002005443,0,0,0.000596858,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__unclassified_f__Vermamoebidae","s__unclassified_f__Vermamoebidae"
"ASV4245",0,0,0,0,0.002435181,0,0.000405864,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Euglyphida","f__Euglyphida_X","g__Euglyphida_XX","s__Euglyphida_XX_sp."
"ASV1820",0.002864919,0,0,0,0,0,0.000477487,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__unclassified_o__Glissomonadida","g__unclassified_o__Glissomonadida","s__unclassified_o__Glissomonadida"
"ASV483",0,0,0.000572984,0.001002722,0,0,0.000262618,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__Colpodidae_X","s__Colpodidae_X_sp."
"ASV1466",0,0.001289214,0,0,0.000572984,0,0.000310366,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Thalassomyxa-lineage","g__Thalassomyxa-lineage_X","s__Thalassomyxa-lineage_X_sp."
"ASV115",0.002435181,0.004010887,0.004154133,0.004010887,0.006446068,0.003437903,0.00408251,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV166",0,0.002005443,0,0,0.000572984,0,0.000429738,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Phalansteriidae","g__Phalansterium","s__Phalansterium_sp."
"ASV161",0.003581149,0,0.005586592,0.002148689,0,0.003008165,0.002387433,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__unclassified_o__Glissomonadida","g__unclassified_o__Glissomonadida","s__unclassified_o__Glissomonadida"
"ASV1424",0,0.002005443,0,0,0,0,0.000334241,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV2925",0,0,0,0.002291935,0,0,0.000381989,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV559",0.001002722,0,0,0,0,0,0.00016712,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV1460",0,0.00143246,0,0,0,0.00143246,0.000477487,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV222",0,0.003151411,0,0,0.001289214,0,0.000740104,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV321",0.001289214,0.001289214,0.00071623,0,0,0.005156854,0.001408585,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV120",0.003294657,0.003581149,0,0.007162298,0.004010887,0.006446068,0.00408251,"Pro","p__Ciliophora","c__Colpodea","o__Platyophryida","f__Platyophryidae","g__Platyophrya","s__unclassified_g__Platyophrya"
"ASV2643",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Cercozoa_X","o__Cercozoa_XX","f__Cercozoa_XXX","g__Cercozoa_XXXX","s__Cercozoa_XXXX_sp."
"ASV1516",0,0.001145968,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV566",0,0.001289214,0,0,0,0,0.000214869,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__Colpodidae_X","s__Colpodidae_X_sp."
"ASV2946",0,0,0,0.001145968,0,0,0.000190995,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV61",0,0,0.013894857,0,0,0.008451511,0.003724395,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Platyreta","s__Platyreta_germanica"
"ASV2566",0.003724395,0,0,0,0,0,0.000620732,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV706",0,0.001718951,0.000143246,0.00143246,0,0,0.000549109,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV1408",0,0.001862197,0,0,0,0,0.000310366,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Euglyphida","f__Euglyphida_X","g__Euglyphida_XX","s__Euglyphida_XX_sp."
"ASV3630",0,0,0,0,0,0.003151411,0.000525235,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_ramosa"
"ASV3955",0,0,0.002148689,0,0,0,0.000358115,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV393",0,0,0,0,0.001718951,0,0.000286492,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV3265",0,0,0.003867641,0,0,0.000859476,0.000787853,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV1407",0,0.001862197,0.001575705,0,0,0,0.000572984,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Thaumatomonadida","f__Thaumatomonadidae","g__Thaumatomonas","s__unclassified_g__Thaumatomonas"
"ASV3951",0,0,0.002005443,0,0,0,0.000334241,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Euglyphida","f__Euglyphida_X","g__Euglyphida_XX","s__Euglyphida_XX_sp."
"ASV3627",0,0,0,0,0,0.004154133,0.000692355,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__unclassified_o__Glissomonadida","g__unclassified_o__Glissomonadida","s__unclassified_o__Glissomonadida"
"ASV1293",0,0.001289214,0,0,0.000143246,0,0.000238743,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__unclassified_o__Glissomonadida","g__unclassified_o__Glissomonadida","s__unclassified_o__Glissomonadida"
"ASV1461",0,0.001002722,0.000572984,0.000286492,0.001002722,0,0.000477487,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__unclassified_g__Paracercomonas"
"ASV2996",0,0,0,0.001289214,0,0.000859476,0.000358115,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__unclassified_o__Haptoria","g__unclassified_o__Haptoria","s__unclassified_o__Haptoria"
"ASV2959",0,0,0,0.00143246,0,0,0.000238743,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV2354",0.00071623,0,0.000286492,0,0,0,0.00016712,"Pro","p__Ciliophora","c__Nassophorea","o__Nassophorea_X","f__Microthoracidae","g__Microthoracidae_X","s__Microthoracidae_X_sp."
"ASV1476",0,0.001289214,0,0,0,0.000429738,0.000286492,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_vonderheydeni"
"ASV2345",0,0,0,0,0.00143246,0,0.000238743,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__unclassified_g__Neoheteromita"
"ASV3965",0,0,0.001002722,0,0,0,0.00016712,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Euglyphida","f__Euglyphida_X","g__Euglyphida_XX","s__Euglyphida_XX_sp."
"ASV1411",0,0.002148689,0,0,0,0,0.000358115,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV541",0.00143246,0,0,0,0,0,0.000238743,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Vampyrellidae","g__Vampyrella","s__Vampyrella_sp."
"ASV1967",0,0,0.000572984,0.001862197,0.000572984,0,0.000501361,"Pro","p__Perkinsea","c__Perkinsida","o__Perkinsida_X","f__Perkinsida_XX","g__Perkinsida_XXX","s__Perkinsida_XXX_sp."
"ASV3967",0,0,0.00143246,0,0,0,0.000238743,"Pro","p__Ciliophora","c__Colpodea","o__Cyrtolophosidida","f__Cyrtolophosididae","g__Cyrtolophosididae_X","s__Cyrtolophosididae_X_sp."
"ASV2592",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Novel-clade-10-12","o__Tremulida","f__Tremulidae","g__Tremula","s__Tremula_longifila"
"ASV3933",0,0,0.005013608,0,0,0,0.000835601,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Glissomonadida_X","g__Glissomonadida_XX","s__Glissomonadida_XX_sp."
"ASV4283",0,0,0,0,0.001002722,0,0.00016712,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_vonderheydeni"
"ASV2341",0.001718951,0,0,0.000572984,0,0,0.000381989,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV1982",0,0,0.000859476,0,0,0.000286492,0.000190995,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Echinamoebidae","g__Echinamoeba","s__Echinamoeba_exundans"
"ASV1412",0,0.002435181,0,0,0,0,0.000405864,"Pro","p__Ciliophora","c__Colpodea","o__Cyrtolophosidida","f__Cyrtolophosididae","g__Cyrtolophosididae_X","s__Cyrtolophosididae_X_sp."
"ASV475",0,0,0.00071623,0,0.000429738,0,0.000190995,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV147",0.0053001,0,0,0,0,0,0.00088335,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV1919",0,0,0.001002722,0,0,0,0.00016712,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodida_X","g__Colpodida_XX","s__Colpodida_XX_sp."
"ASV925",0,0.00143246,0,0,0,0,0.000238743,"Pro","p__Cercozoa","c__Filosa-Thecofilosea","o__Cryomonadida","f__unclassified_o__Cryomonadida","g__unclassified_o__Cryomonadida","s__unclassified_o__Cryomonadida"
"ASV2552",0.010313709,0,0,0,0,0,0.001718951,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV3952",0,0,0.002148689,0,0,0,0.000358115,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__unclassified_f__Colpodidae","s__unclassified_f__Colpodidae"
"ASV2922",0,0,0,0.003008165,0,0,0.000501361,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Filosa-Sarcomonadea_X","f__Filosa-Sarcomonadea_XX","g__Filosa-Sarcomonadea_XXX","s__Filosa-Sarcomonadea_XXX_sp."
"ASV2938",0,0,0,0.001862197,0.002148689,0,0.000668481,"Pro","p__Cercozoa","c__Cercozoa_X","o__Cercozoa_XX","f__Cercozoa_XXX","g__Cercozoa_XXXX","s__Cercozoa_XXXX_sp."
"ASV371",0,0.002291935,0.000286492,0.000429738,0.000859476,0,0.000644607,"Pro","p__Conosa","c__Mycetozoa-Dictyostelea","o__Dictyosteliida","f__Dictyosteliida-Group-IV","g__Dictyostelium-Group-IV","s__unclassified_g__Dictyostelium-Group-IV"
"ASV207",0.002435181,0.001002722,0.00143246,0.002148689,0.002148689,0.003437903,0.002100941,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV1507",0,0.001002722,0,0,0,0,0.00016712,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Proleptomonadidae","g__Proleptomonas","s__Proleptomonas_sp."
"ASV234",0,0.001289214,0.001145968,0,0,0,0.000405864,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__Neoheteromita_caudratti"
"ASV69",0.002721673,0.003581149,0.002291935,0.003008165,0.007878527,0.002578427,0.003676646,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV1870",0,0,0,0,0,0.004583871,0.000763978,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV3626",0,0,0,0,0,0.003724395,0.000620732,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__Spathidiidae","g__unclassified_f__Spathidiidae","s__unclassified_f__Spathidiidae"
"ASV181",0.00143246,0.000859476,0,0.001575705,0.002435181,0.003724395,0.001671203,"Pro","p__Apicomplexa","c__Apicomplexa_X","o__Colpodellidae","f__Colpodellidae_X","g__Colpodella","s__Colpodella_tetrahymenae"
"ASV2616",0.00143246,0,0,0,0,0,0.000238743,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
"ASV3669",0,0,0,0,0,0.001575705,0.000262618,"Pro","p__Cercozoa","c__Cercozoa_X","o__Cercozoa_XX","f__Cercozoa_XXX","g__Cercozoa_XXXX","s__Cercozoa_XXXX_sp."
"ASV987",0,0.000286492,0,0,0.000859476,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cercomonadidae_X","s__Cercomonadidae_X_sp."
"ASV837",0,0.005586592,0,0,0.012319152,0,0.002984291,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV3077",0,0,0,0.000429738,0.001145968,0,0.000262618,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV239",0.002291935,0.001289214,0.005013608,0.002148689,0.001289214,0.00071623,0.002124815,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV117",0.003581149,0,0.00143246,0.001862197,0,0.003581149,0.001742826,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV1846",0,0,0.001718951,0,0,0,0.000286492,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV4238",0,0,0,0,0.00601633,0,0.001002722,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV3956",0,0,0.001575705,0,0,0,0.000262618,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV83",0.005729838,0.009454233,0.007019052,0.010886692,0.009454233,0.008594757,0.008523134,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV3487",0,0,0.001002722,0,0,0,0.00016712,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV3645",0,0,0,0,0,0.002148689,0.000358115,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__unclassified_g__Neoheteromita"
"ASV918",0,0,0.001862197,0,0,0,0.000310366,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Group-Te","s__Group-Te_sp."
"ASV2944",0,0,0,0.00143246,0,0,0.000238743,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__unclassified_f__Cercomonadidae","s__unclassified_f__Cercomonadidae"
"ASV2598",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_ramosa"
"ASV345",0,0,0,0.000143246,0.005443346,0.001145968,0.001122093,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_elongata"
"ASV2630",0.001002722,0,0,0,0.002148689,0,0.000525235,"Pro","p__Apicomplexa","c__Apicomplexa_X","o__Gregarines","f__Gregarines_X","g__Gregarines_XX","s__Gregarines_XX_sp."
"ASV341",0.001002722,0.001002722,0,0,0,0.000143246,0.000358115,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV319",0,0,0,0.000572984,0,0.001145968,0.000286492,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__sm27-lineage","g__sm27-lineage_X","s__sm27-lineage_X_sp."
"ASV264",0,0,0.001718951,0,0,0,0.000286492,"Pro","p__Cercozoa","c__Filosa-Imbricatea","o__Filosa-Imbricatea_X","f__Nudifilidae","g__Nudifila","s__Nudifila_producta"
"ASV8",0.012605644,0.016759777,0.020197679,0.012175906,0.019338204,0.014897579,0.015995798,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__unclassified_g__Paracercomonas"
"ASV4023",0,0,0.001002722,0,0,0,0.00016712,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__Colpodidae_X","s__Colpodidae_X_sp."
"ASV4297",0,0,0,0,0.001002722,0,0.00016712,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV612",0.001575705,0,0.000429738,0,0.002291935,0,0.00071623,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV430",0,0,0,0.000429738,0,0.00071623,0.000190995,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV947",0.000859476,0.000286492,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV1366",0,0.005443346,0,0,0,0,0.000907224,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV2979",0,0,0,0.001002722,0,0,0.00016712,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_virgaria"
"ASV2929",0,0,0,0.002435181,0,0,0.000405864,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV2633",0.001145968,0,0.00143246,0,0,0.000286492,0.000477487,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cavernomonas","s__Cavernomonas_stercoris"
"ASV1365",0.002864919,0.004870362,0,0,0,0.00071623,0.001408585,"Pro","p__Ciliophora","c__Colpodea","o__Platyophryida","f__Sorogenidae","g__unclassified_f__Sorogenidae","s__unclassified_f__Sorogenidae"
"ASV1446",0.00071623,0.000859476,0,0,0,0,0.000262618,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV3619",0,0,0,0,0,0.007592036,0.001265339,"Pro","p__Ciliophora","c__Colpodea","o__Platyophryida","f__Sorogenidae","g__unclassified_f__Sorogenidae","s__unclassified_f__Sorogenidae"
"ASV2622",0.001002722,0,0,0,0,0,0.00016712,"Pro","p__Cercozoa","c__Filosa-Thecofilosea","o__Cryomonadida","f__unclassified_o__Cryomonadida","g__unclassified_o__Cryomonadida","s__unclassified_o__Cryomonadida"
"ASV2584",0.001289214,0,0,0,0,0,0.000214869,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__unclassified_f__Allapsidae","s__unclassified_f__Allapsidae"
"ASV1388",0,0.003294657,0,0,0,0,0.000549109,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__unclassified_f__Colpodidae","s__unclassified_f__Colpodidae"
"ASV1462",0,0.001002722,0,0,0.001145968,0,0.000358115,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Vampyrellidae","g__Vampyrella","s__Vampyrella_sp."
